caso_id,tomo,tipo_cambio,metodo,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_firma
329_p94,329,mejora_gano_firma,forward_con_firma,otro,originaria,sin_firma,mixed,0,7,"Por lo expuesto esta ejecución fiscal, tal como lo disponen ","Por ello, se resuelve: I. Declarar procedente el recurso ord",ENRIQUE SANTIAGO PETRACCHI (en disidencia) — ELENA I. HIGHTON DE NOLASCO (según 
329_p385,329,mejora_gano_firma,forward_con_firma,otro,confirma,sin_firma,mixed,0,7,"de conformidad con el régimen de las leyes citadas, y había ","Por ello, oído el señor Procurador Fiscal subrogante, se dec",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (según su voto) — CARLO
329_p584,329,mejora_gano_firma,forward_con_firma,otro,otro,sin_firma,unanime,0,3,"En consecuencia, como lo expresó el Tribunal al examinar la ","Por ello, habiendo dictaminado el señor Procurador General, ",ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — E. RAÚL ZAFFARONI —
329_p1066,329,mejora_gano_firma,forward_con_firma,otro,hace_lugar,sin_firma,mixed,0,7,"Por ello, como regla, carece de sentido señalar que los prof","Por ello, y lo dictaminado por el señor Procurador Fiscal, s",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLO
329_p1092,329,mejora_gano_firma,forward_con_firma,abstracto,hace_lugar,sin_firma,disidencia,0,2,"En consecuencia, revisar la doctrina jurisprudencial que fun","Por ello, y oído el señor Procurador Fiscal, se declara impr",CARMEN M. ARGIBAY (en disidencia parcial) — GABRIEL B. CHAUSOVSKY — CARLOS M. PE
329_p1191,329,mejora_gano_firma,forward_con_firma,otro,desestima,sin_firma,segun_su_voto,0,6,"Por ello, como regla, carece de sentido señalar que los prof","Por ello, oído el señor Procurador Fiscal, se desestima la q",ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT (según su voto) — JUAN CARLOS MAQUED
329_p1317,329,mejora_gano_firma,forward_con_firma,otro,otro,sin_firma,unanime,0,7,"En consecuencia, la controversia se circunscribe a determina","Por ello, se decide: Hacer lugar a la demanda y condenar al ",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1586,329,mejora_gano_firma,forward_con_firma,otro,otro,sin_firma,unanime,0,6,En su mérito modificó el objeto de la demanda y solicitó al ,"Por ello, y de conformidad con el dictamen del señor Procura",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1862,329,mejora_gano_firma,forward_con_firma,otro,originaria,sin_firma,segun_su_voto,0,7,"En consecuencia, corresponde rechazar la excepción de falta ","Por ello, se resuelve: I. Rechazar la excepción de falta de ",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según
329_p2688,329,mejora_gano_firma,forward_con_firma,otro,otro,sin_firma,disidencia,0,6,"En consecuencia, de las constancias de la causa no surge la ","Por ello, se decide: Hacer lugar a la demanda seguida por Ra",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
